time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
0.61,0.0686298,0.108253,0.31863,0.108253,0.56863,0.108253,0.19363,0.324759,0.44363,0.324759,0.69363,0.324759,0.0686298,0.541266,0.31863,0.541266,0.56863,0.541266,0.19363,0.757772,0.44363,0.757772,0.69363,0.757772
0.611,0.0686481,0.108253,0.318648,0.108253,0.568648,0.108253,0.193648,0.324759,0.443648,0.324759,0.693648,0.324759,0.0686481,0.541266,0.318648,0.541266,0.568648,0.541266,0.193648,0.757772,0.443648,0.757772,0.693648,0.757772
0.612,0.0686665,0.108253,0.318667,0.108253,0.568666,0.108253,0.193667,0.32476,0.443666,0.32476,0.693666,0.32476,0.0686665,0.541266,0.318666,0.541266,0.568666,0.541266,0.193667,0.757772,0.443666,0.757772,0.693666,0.757772
0.613,0.0686848,0.108253,0.318685,0.108253,0.568685,0.108253,0.193685,0.32476,0.443685,0.32476,0.693685,0.32476,0.0686848,0.541266,0.318685,0.541266,0.568685,0.541266,0.193685,0.757772,0.443685,0.757772,0.693685,0.757772
0.614,0.0687031,0.108253,0.318703,0.108253,0.568703,0.108253,0.193703,0.324759,0.443703,0.324759,0.693703,0.324759,0.0687031,0.541266,0.318703,0.541266,0.568703,0.541266,0.193703,0.757772,0.443703,0.757772,0.693703,0.757772
0.615,0.0687214,0.108253,0.318721,0.108253,0.568722,0.108253,0.193721,0.324759,0.443722,0.324759,0.693722,0.324759,0.0687214,0.541266,0.318721,0.541266,0.568722,0.541266,0.193721,0.757772,0.443722,0.757772,0.693722,0.757772
0.616,0.0687399,0.108253,0.31874,0.108253,0.56874,0.108253,0.19374,0.32476,0.44374,0.32476,0.69374,0.32476,0.0687399,0.541266,0.31874,0.541266,0.56874,0.541266,0.19374,0.757772,0.44374,0.757772,0.69374,0.757772
0.617,0.0687583,0.108253,0.318758,0.108253,0.568758,0.108253,0.193758,0.32476,0.443758,0.32476,0.693758,0.32476,0.0687583,0.541266,0.318758,0.541266,0.568758,0.541266,0.193758,0.757772,0.443758,0.757772,0.693758,0.757772
0.618,0.0687767,0.108253,0.318777,0.108253,0.568777,0.108253,0.193777,0.324759,0.443777,0.324759,0.693777,0.324759,0.0687766,0.541266,0.318777,0.541266,0.568777,0.541266,0.193777,0.757772,0.443777,0.757772,0.693777,0.757772
0.619,0.0687951,0.108253,0.318795,0.108253,0.568795,0.108253,0.193795,0.324759,0.443795,0.324759,0.693795,0.324759,0.0687951,0.541266,0.318795,0.541266,0.568795,0.541266,0.193795,0.757772,0.443795,0.757772,0.693795,0.757772
0.62,0.0688137,0.108253,0.318814,0.108253,0.568814,0.108253,0.193814,0.32476,0.443814,0.32476,0.693814,0.32476,0.0688137,0.541266,0.318814,0.541266,0.568814,0.541266,0.193814,0.757772,0.443814,0.757772,0.693814,0.757772
0.621,0.0688322,0.108253,0.318832,0.108253,0.568832,0.108253,0.193832,0.32476,0.443832,0.32476,0.693832,0.32476,0.0688322,0.541266,0.318832,0.541266,0.568832,0.541266,0.193832,0.757772,0.443832,0.757772,0.693832,0.757772
0.622,0.0688506,0.108253,0.318851,0.108253,0.568851,0.108253,0.193851,0.324759,0.443851,0.324759,0.693851,0.324759,0.0688506,0.541266,0.318851,0.541266,0.568851,0.541266,0.193851,0.757772,0.443851,0.757772,0.693851,0.757772
0.623,0.0688691,0.108253,0.318869,0.108253,0.568869,0.108253,0.193869,0.324759,0.443869,0.324759,0.693869,0.324759,0.0688691,0.541266,0.318869,0.541266,0.568869,0.541266,0.193869,0.757772,0.443869,0.757772,0.693869,0.757772
0.624,0.0688878,0.108253,0.318888,0.108253,0.568888,0.108253,0.193888,0.32476,0.443888,0.32476,0.693888,0.32476,0.0688878,0.541266,0.318888,0.541266,0.568888,0.541266,0.193888,0.757772,0.443888,0.757772,0.693888,0.757772
0.625,0.0689064,0.108253,0.318906,0.108253,0.568906,0.108253,0.193906,0.32476,0.443906,0.32476,0.693906,0.32476,0.0689064,0.541266,0.318906,0.541266,0.568906,0.541266,0.193906,0.757772,0.443906,0.757772,0.693906,0.757772
0.626,0.0689249,0.108253,0.318925,0.108253,0.568925,0.108253,0.193925,0.324759,0.443925,0.324759,0.693925,0.324759,0.0689249,0.541266,0.318925,0.541266,0.568925,0.541266,0.193925,0.757772,0.443925,0.757772,0.693925,0.757772
0.627,0.0689435,0.108253,0.318943,0.108253,0.568944,0.108253,0.193943,0.324759,0.443944,0.324759,0.693944,0.324759,0.0689435,0.541266,0.318943,0.541266,0.568944,0.541266,0.193944,0.757772,0.443944,0.757772,0.693944,0.757772
0.628,0.0689623,0.108253,0.318962,0.108253,0.568962,0.108253,0.193962,0.32476,0.443962,0.32476,0.693962,0.32476,0.0689623,0.541266,0.318962,0.541266,0.568962,0.541266,0.193962,0.757772,0.443962,0.757772,0.693962,0.757772
0.629,0.0689809,0.108253,0.318981,0.108253,0.568981,0.108253,0.193981,0.32476,0.443981,0.32476,0.693981,0.32476,0.0689809,0.541266,0.318981,0.541266,0.568981,0.541266,0.193981,0.757772,0.443981,0.757772,0.693981,0.757772
0.63,0.0689995,0.108253,0.318999,0.108253,0.569,0.108253,0.194,0.324759,0.444,0.324759,0.694,0.324759,0.0689995,0.541266,0.318999,0.541266,0.569,0.541266,0.194,0.757772,0.444,0.757772,0.694,0.757772
0.631,0.0690182,0.108253,0.319018,0.108253,0.569018,0.108253,0.194018,0.324759,0.444018,0.324759,0.694018,0.324759,0.0690182,0.541266,0.319018,0.541266,0.569018,0.541266,0.194018,0.757772,0.444018,0.757772,0.694018,0.757772
